service_id,service_name
405,Modify - Member Name Correction after Receiving Card (Form â C)
406,Apply- Addition of New Member after Receiving Card (Form â A)
407,Modify - Member Deletion after Receiving Card (Form â D)
408,Search - Status of Application of Swasthya Sathi Card
409,Apply - Filing of Affidavits by Citizen
410,Online Deposit of Rent by Tenants
411,Online Request for Certificate Copy by Citizens
412,Apply - Certified Copy of Marriage Records
413,Search - Marriage Record
414,Search - Application for Objection
415,Apply - Request to Change of Marriage Officer
416,Search - Download Marriage Certificate
417,Status - Application Banglashree Scheme
418,Search - Download Certificate of Banglashree Scheme
419,Payment - New Connection E-Pay New Connection (LT) 
420,Search - Payment Receipt New Connection (LT)
421,New Connection (LT) - New Connection Application Status
422,Search - Welcome Letter New Connection (LT)
423,Apply - Diploma in Pharmacy
424,Apply  - Post Diploma in Petrochemical and Medical Electronics
425,Search - Payment of Tax (MV)
426,Apply - Transfer of Ownership
427,Vahan - Change of Address / Hypothecation addition / Duplicate RC
428,Apply - No Objection Certificate (NOC)
429,Apply - Renewal of Registration (RC)
430,Search - Print Unpaid Bills and F/S Bill 
431,Print - Unpaid Bills of Outstanding LOI 
432,Apply - BENFISH Property Booking
457,Search - PMSVA Nidhi Scheme
458,Apply - Group Loan and Fresh Loan
459,Modify - Group Loan Application
460,Apply - Refinance of Group Loan
461,Search - Group Loan Status
462,Apply - Fitness Renewal
463,Apply - Conversion of Vehicle
464,Apply - Alternation of Vehicle
465,Apply - RC Particulars
466,Vahan - Mobile Number Update
467,Apply - Withdrawal of Application
468,Apply - Registration of Migrant Workers
469,Apply - New e-Requisition Form
470,Payment - e-Payment Stamp Duty & Registration Fees
471,Download- e-Assessment Slip & Print
472,Application - Refund of e-Payment
473,Search - Deed By Seller/Buyer/Party Name
474,Search - Deed By Transacted Property Details
475,Search - Deed by Deed Number & Query Number 
476,Apply - Disability Certificate
477,Apply - Distance Certificate for Students
478,Apply - Ordinary Residencial Certificate
479,Apply - Permission for Delayed Registration of Birth
480,Apply - Permission for Delayed Registration of Death
481,Apply - Redressal of RTI queries & Tracking
482,Search Preferred Colleges & Courses
483,Registration & Admission
484,eChallan
485,eDistrict Dashboard
486,Apply - Payment of Property Tax at NKDA
487,Apply - Assessment of Property Tax at NKDA
488,Apply - Issuance of Record of Title (Mutation) by NKDA
489,Apply - Grant of Fire License
490,Apply - Renewal of Fire License
491,Apply - Issuance of Fire Safety Recommendation
492,Apply - Issuance of Revised Fire Safety Recommendation
493,Apply - Registration of Association of Apartment Owners
494,Apply - Form -B under West Bengal Apartment Ownership act 1972
495,Apply - Form -C under West Bengal Apartment Ownership act 1972
496,Search - Discover Your Eligible Schemes
497,Apply - Self Certification of Fire Safety
498,Property Tax (HMC) 
499,Apply - Support for One Time Settlement (OTS) of NPA Accounts of PWCS
500,Apply - One-time financial assistance to viable & potentially viable PWCS 
501,Apply - One-time financial assistance to Individual Handloom Weavers
502,Apply - Bhabishyat Credit Card Scheme (WBBCCS)
503,Edit - Bhabishyat Credit Card Scheme (WBBCCS) 
504,Search - Bhabishyat Credit Card Scheme Status (WBBCCS)
505,Search - Bhabishyat Credit Card Scheme Status (WBBCCS)
506,Apply - New Trade License 
507, Apply - Renewal of Trade License
508,Search - View & Pay Demand
509,Search - Check License
510,Print - Online License Reprint
