bsk_id,bsk_name_x,block_mun_id,service_id,usage_count,unique_customers,service_name,rank_in_block
6,DM OFFICE DARJEELING,362,151,136,126,Apply - Local Residence (Domicile) Certificate,1
6,DM OFFICE DARJEELING,362,470,136,56,Payment - e-Payment Stamp Duty & Registration Fees,1
6,DM OFFICE DARJEELING,362,485,109,105,eDistrict Dashboard,2
6,DM OFFICE DARJEELING,362,154,54,52,Apply - Gorkha Certificate,3
6,DM OFFICE DARJEELING,362,156,54,54,Apply - Verification of Electoral Roll Online,3
6,DM OFFICE DARJEELING,362,427,51,51,Vahan - Change of Address / Hypothecation addition / Duplicate RC,4
6,DM OFFICE DARJEELING,362,425,48,45,Search - Payment of Tax (MV),5
6,DM OFFICE DARJEELING,362,368,32,30,Application for applying learners licence,6
7,DM OFFICE HOOGHLY,374,199,124,40,Apply - Payment of WBSEDCL Electricity Bill,1
7,DM OFFICE HOOGHLY,374,356,6,6,Search - Regenerate Receipt of WBSEDCL,2
7,DM OFFICE HOOGHLY,374,408,2,2,Search - Status of Application of Swasthya Sathi Card,3
7,DM OFFICE HOOGHLY,374,242,1,1,Apply - Payment of Municipal & Corporation Tax,4
7,DM OFFICE HOOGHLY,374,281,1,1,Apply - Pay Now Rent of Flats of Government Housing,4
7,DM OFFICE HOOGHLY,374,392,1,1,Modify - Add member / FPS of Ration Card Holder,4
7,DM OFFICE HOOGHLY,374,465,1,1,Apply - RC Particulars,4
7,DM OFFICE HOOGHLY,374,466,1,1,Vahan - Mobile Number Update,4
7,DM OFFICE HOOGHLY,374,479,1,1,Apply - Permission for Delayed Registration of Birth,4
7,DM OFFICE HOOGHLY,374,484,1,1,eChallan,4
8,DM OFFICE HOWRAH,383,4,728,538,Application for Income Certificates,1
8,DM OFFICE HOWRAH,383,6,501,434,Caste Certificate,2
8,DM OFFICE HOWRAH,383,369,308,268,Status - Application of Learners Licence,3
8,DM OFFICE HOWRAH,383,156,214,205,Apply - Verification of Electoral Roll Online,4
8,DM OFFICE HOWRAH,383,408,200,195,Search - Status of Application of Swasthya Sathi Card,5
8,DM OFFICE HOWRAH,383,22,176,134,Apply - Land Revenue (Khajna),6
9,DM OFFICE JALPAIGURI,387,369,2739,1602,Status - Application of Learners Licence,1
9,DM OFFICE JALPAIGURI,387,233,2583,1535,Apply - Driving Licence,2
9,DM OFFICE JALPAIGURI,387,368,168,157,Application for applying learners licence,3
9,DM OFFICE JALPAIGURI,387,199,159,101,Apply - Payment of WBSEDCL Electricity Bill,4
9,DM OFFICE JALPAIGURI,387,155,100,99,Apply - Submission of Form for Electoral Roll,5
9,DM OFFICE JALPAIGURI,387,234,50,49,Apply - Renewal of Driving Licence,6
10,DM OFFICE JHARGRAM,389,171,876,483,Apply - Map Service,1
10,DM OFFICE JHARGRAM,389,22,197,178,Apply - Land Revenue (Khajna),2
10,DM OFFICE JHARGRAM,389,155,195,161,Apply - Submission of Form for Electoral Roll,3
10,DM OFFICE JHARGRAM,389,199,186,82,Apply - Payment of WBSEDCL Electricity Bill,4
10,DM OFFICE JHARGRAM,389,165,135,131,Apply - Yuvashree Scheme Application ,5
10,DM OFFICE JHARGRAM,389,470,132,18,Payment - e-Payment Stamp Duty & Registration Fees,6
11,DM OFFICE KALIMPONG,390,22,430,427,Apply - Land Revenue (Khajna),1
11,DM OFFICE KALIMPONG,390,199,126,60,Apply - Payment of WBSEDCL Electricity Bill,2
11,DM OFFICE KALIMPONG,390,168,72,72,Apply - Mutation Application,3
11,DM OFFICE KALIMPONG,390,151,60,59,Apply - Local Residence (Domicile) Certificate,4
11,DM OFFICE KALIMPONG,390,6,59,57,Caste Certificate,5
11,DM OFFICE KALIMPONG,390,470,42,42,Payment - e-Payment Stamp Duty & Registration Fees,6
12,DM OFFICE MALDA,407,6,1269,963,Caste Certificate,1
12,DM OFFICE MALDA,407,233,998,975,Apply - Driving Licence,2
12,DM OFFICE MALDA,407,368,934,901,Application for applying learners licence,3
12,DM OFFICE MALDA,407,406,619,571,Apply- Addition of New Member after Receiving Card (Form  A),4
12,DM OFFICE MALDA,407,234,528,519,Apply - Renewal of Driving Licence,5
12,DM OFFICE MALDA,407,199,445,239,Apply - Payment of WBSEDCL Electricity Bill,6
13,DM OFFICE MURSHIDABAD,410,22,640,497,Apply - Land Revenue (Khajna),1
13,DM OFFICE MURSHIDABAD,410,199,414,181,Apply - Payment of WBSEDCL Electricity Bill,2
13,DM OFFICE MURSHIDABAD,410,169,32,25,Apply - ROR Application ,3
13,DM OFFICE MURSHIDABAD,410,155,8,7,Apply - Submission of Form for Electoral Roll,4
13,DM OFFICE MURSHIDABAD,410,392,8,8,Modify - Add member / FPS of Ration Card Holder,4
13,DM OFFICE MURSHIDABAD,410,242,7,4,Apply - Payment of Municipal & Corporation Tax,5
13,DM OFFICE MURSHIDABAD,410,128,6,6,Apply - Aadhaar & Mobile Link with Digital Ration Card,6
13,DM OFFICE MURSHIDABAD,410,151,6,6,Apply - Local Residence (Domicile) Certificate,6
14,DM OFFICE NADIA,423,22,933,827,Apply - Land Revenue (Khajna),1
14,DM OFFICE NADIA,423,470,529,139,Payment - e-Payment Stamp Duty & Registration Fees,2
14,DM OFFICE NADIA,423,199,393,193,Apply - Payment of WBSEDCL Electricity Bill,3
14,DM OFFICE NADIA,423,171,135,114,Apply - Map Service,4
14,DM OFFICE NADIA,423,356,24,23,Search - Regenerate Receipt of WBSEDCL,5
14,DM OFFICE NADIA,423,128,15,12,Apply - Aadhaar & Mobile Link with Digital Ration Card,6
15,DM OFFICE NORTH 24 PARGANAS,428,6,390,217,Caste Certificate,1
15,DM OFFICE NORTH 24 PARGANAS,428,199,297,115,Apply - Payment of WBSEDCL Electricity Bill,2
15,DM OFFICE NORTH 24 PARGANAS,428,155,271,123,Apply - Submission of Form for Electoral Roll,3
15,DM OFFICE NORTH 24 PARGANAS,428,4,266,152,Application for Income Certificates,4
15,DM OFFICE NORTH 24 PARGANAS,428,354,164,36,Payment - Electricity Bill of CESC,5
15,DM OFFICE NORTH 24 PARGANAS,428,485,152,105,eDistrict Dashboard,6
16,DM OFFICE PASCHIM BARDHAMAN,456,408,637,269,Search - Status of Application of Swasthya Sathi Card,1
16,DM OFFICE PASCHIM BARDHAMAN,456,22,563,416,Apply - Land Revenue (Khajna),2
16,DM OFFICE PASCHIM BARDHAMAN,456,199,319,142,Apply - Payment of WBSEDCL Electricity Bill,3
16,DM OFFICE PASCHIM BARDHAMAN,456,169,191,134,Apply - ROR Application ,4
16,DM OFFICE PASCHIM BARDHAMAN,456,6,185,125,Caste Certificate,5
16,DM OFFICE PASCHIM BARDHAMAN,456,128,162,103,Apply - Aadhaar & Mobile Link with Digital Ration Card,6
17,DM OFFICE PASCHIM MEDINIPUR,465,199,300,51,Apply - Payment of WBSEDCL Electricity Bill,1
17,DM OFFICE PASCHIM MEDINIPUR,465,22,27,23,Apply - Land Revenue (Khajna),2
17,DM OFFICE PASCHIM MEDINIPUR,465,326,25,25,Registration - Micro Irrigation,3
17,DM OFFICE PASCHIM MEDINIPUR,465,155,21,21,Apply - Submission of Form for Electoral Roll,4
17,DM OFFICE PASCHIM MEDINIPUR,465,234,17,15,Apply - Renewal of Driving Licence,5
17,DM OFFICE PASCHIM MEDINIPUR,465,425,8,8,Search - Payment of Tax (MV),6
17,DM OFFICE PASCHIM MEDINIPUR,465,484,8,7,eChallan,6
18,DM OFFICE PURBA BARDHAMAN,467,358,3417,1558,Search - Download of e-Ration Card,1
18,DM OFFICE PURBA BARDHAMAN,467,127,3385,1553,Search - Application Status of Digital Ration Card Application,2
18,DM OFFICE PURBA BARDHAMAN,467,352,2946,1482,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,3
18,DM OFFICE PURBA BARDHAMAN,467,128,2903,1468,Apply - Aadhaar & Mobile Link with Digital Ration Card,4
18,DM OFFICE PURBA BARDHAMAN,467,392,1632,1009,Modify - Add member / FPS of Ration Card Holder,5
18,DM OFFICE PURBA BARDHAMAN,467,126,1387,967,Apply - New Digital Ration Card,6
19,DM OFFICE PURBA MEDINIPUR,260,470,3208,485,Payment - e-Payment Stamp Duty & Registration Fees,1
19,DM OFFICE PURBA MEDINIPUR,260,119,2002,373,Payment - Tax or Fees,2
19,DM OFFICE PURBA MEDINIPUR,260,352,1700,802,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,3
19,DM OFFICE PURBA MEDINIPUR,260,127,1629,760,Search - Application Status of Digital Ration Card Application,4
19,DM OFFICE PURBA MEDINIPUR,260,128,1608,792,Apply - Aadhaar & Mobile Link with Digital Ration Card,5
19,DM OFFICE PURBA MEDINIPUR,260,392,1507,735,Modify - Add member / FPS of Ration Card Holder,6
20,DM OFFICE PURULIA,479,408,637,603,Search - Status of Application of Swasthya Sathi Card,1
20,DM OFFICE PURULIA,479,199,412,170,Apply - Payment of WBSEDCL Electricity Bill,2
20,DM OFFICE PURULIA,479,155,73,59,Apply - Submission of Form for Electoral Roll,3
20,DM OFFICE PURULIA,479,368,68,59,Application for applying learners licence,4
20,DM OFFICE PURULIA,479,369,55,43,Status - Application of Learners Licence,5
20,DM OFFICE PURULIA,479,233,46,40,Apply - Driving Licence,6
21,DM OFFICE SOUTH 24 PARGANAS,499,354,389,26,Payment - Electricity Bill of CESC,1
21,DM OFFICE SOUTH 24 PARGANAS,499,199,26,6,Apply - Payment of WBSEDCL Electricity Bill,2
21,DM OFFICE SOUTH 24 PARGANAS,499,155,2,2,Apply - Submission of Form for Electoral Roll,3
21,DM OFFICE SOUTH 24 PARGANAS,499,343,2,1,Apply - New License (CE) Application  (only for KMC),3
21,DM OFFICE SOUTH 24 PARGANAS,499,281,1,1,Apply - Pay Now Rent of Flats of Government Housing,4
22,DM OFFICE UTTAR DINAJPUR,334,199,583,157,Apply - Payment of WBSEDCL Electricity Bill,1
22,DM OFFICE UTTAR DINAJPUR,334,6,484,359,Caste Certificate,2
22,DM OFFICE UTTAR DINAJPUR,334,155,226,177,Apply - Submission of Form for Electoral Roll,3
22,DM OFFICE UTTAR DINAJPUR,334,4,179,142,Application for Income Certificates,4
22,DM OFFICE UTTAR DINAJPUR,334,470,177,37,Payment - e-Payment Stamp Duty & Registration Fees,5
22,DM OFFICE UTTAR DINAJPUR,334,233,153,127,Apply - Driving Licence,6
23,SDO ALIPURDUAR,343,470,352,68,Payment - e-Payment Stamp Duty & Registration Fees,1
23,SDO ALIPURDUAR,343,6,344,321,Caste Certificate,2
23,SDO ALIPURDUAR,343,199,194,98,Apply - Payment of WBSEDCL Electricity Bill,3
23,SDO ALIPURDUAR,343,352,122,112,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,4
23,SDO ALIPURDUAR,343,192,44,39,Application for EWS Certificates,5
23,SDO ALIPURDUAR,343,4,32,24,Application for Income Certificates,6
24,BANKURA SADAR SDO,344,6,1380,1098,Caste Certificate,1
24,BANKURA SADAR SDO,344,199,560,291,Apply - Payment of WBSEDCL Electricity Bill,2
24,BANKURA SADAR SDO,344,4,503,292,Application for Income Certificates,3
24,BANKURA SADAR SDO,344,242,421,304,Apply - Payment of Municipal & Corporation Tax,4
24,BANKURA SADAR SDO,344,22,352,248,Apply - Land Revenue (Khajna),5
24,BANKURA SADAR SDO,344,155,283,236,Apply - Submission of Form for Electoral Roll,6
25,BISHNUPUR SDO,345,199,413,169,Apply - Payment of WBSEDCL Electricity Bill,1
25,BISHNUPUR SDO,345,470,352,40,Payment - e-Payment Stamp Duty & Registration Fees,2
25,BISHNUPUR SDO,345,368,84,75,Application for applying learners licence,3
25,BISHNUPUR SDO,345,233,83,70,Apply - Driving Licence,4
25,BISHNUPUR SDO,345,170,72,55,Apply - Plot Information,5
25,BISHNUPUR SDO,345,155,67,64,Apply - Submission of Form for Electoral Roll,6
26,KHATRA SDO,15,6,909,846,Caste Certificate,1
26,KHATRA SDO,15,406,294,288,Apply- Addition of New Member after Receiving Card (Form  A),2
26,KHATRA SDO,15,199,188,55,Apply - Payment of WBSEDCL Electricity Bill,3
26,KHATRA SDO,15,155,184,163,Apply - Submission of Form for Electoral Roll,4
26,KHATRA SDO,15,165,132,129,Apply - Yuvashree Scheme Application ,5
26,KHATRA SDO,15,192,42,33,Application for EWS Certificates,6
27,SURI SDO,352,408,408,335,Search - Status of Application of Swasthya Sathi Card,1
27,SURI SDO,352,331,387,354,Training Centre details (Paschim Banga Society for Skill Development),2
27,SURI SDO,352,6,355,318,Caste Certificate,3
27,SURI SDO,352,156,339,322,Apply - Verification of Electoral Roll Online,4
27,SURI SDO,352,358,291,220,Search - Download of e-Ration Card,5
27,SURI SDO,352,233,271,249,Apply - Driving Licence,6
28,BOLPUR SDO,347,6,1447,929,Caste Certificate,1
28,BOLPUR SDO,347,192,426,304,Application for EWS Certificates,2
28,BOLPUR SDO,347,155,374,270,Apply - Submission of Form for Electoral Roll,3
28,BOLPUR SDO,347,199,165,82,Apply - Payment of WBSEDCL Electricity Bill,4
28,BOLPUR SDO,347,4,132,100,Application for Income Certificates,5
28,BOLPUR SDO,347,151,116,89,Apply - Local Residence (Domicile) Certificate,6
29,RAMPURHAT SDO,350,6,1841,1567,Caste Certificate,1
29,RAMPURHAT SDO,350,155,150,129,Apply - Submission of Form for Electoral Roll,2
29,RAMPURHAT SDO,350,4,123,95,Application for Income Certificates,3
29,RAMPURHAT SDO,350,199,121,71,Apply - Payment of WBSEDCL Electricity Bill,4
29,RAMPURHAT SDO,350,22,76,41,Apply - Land Revenue (Khajna),5
29,RAMPURHAT SDO,350,192,38,32,Application for EWS Certificates,6
30,COOCHBEHAR SADAR SDO,353,470,959,426,Payment - e-Payment Stamp Duty & Registration Fees,1
30,COOCHBEHAR SADAR SDO,353,6,265,259,Caste Certificate,2
30,COOCHBEHAR SADAR SDO,353,22,102,99,Apply - Land Revenue (Khajna),3
30,COOCHBEHAR SADAR SDO,353,156,84,84,Apply - Verification of Electoral Roll Online,4
30,COOCHBEHAR SADAR SDO,353,155,76,75,Apply - Submission of Form for Electoral Roll,5
30,COOCHBEHAR SADAR SDO,353,199,76,46,Apply - Payment of WBSEDCL Electricity Bill,5
30,COOCHBEHAR SADAR SDO,353,4,61,59,Application for Income Certificates,6
31,DINHATA SDO,354,6,2306,1874,Caste Certificate,1
31,DINHATA SDO,354,470,303,150,Payment - e-Payment Stamp Duty & Registration Fees,2
31,DINHATA SDO,354,199,255,111,Apply - Payment of WBSEDCL Electricity Bill,3
31,DINHATA SDO,354,155,203,140,Apply - Submission of Form for Electoral Roll,4
31,DINHATA SDO,354,156,103,71,Apply - Verification of Electoral Roll Online,5
31,DINHATA SDO,354,22,66,46,Apply - Land Revenue (Khajna),6
32,MATHABHANGA SDO,355,470,2110,354,Payment - e-Payment Stamp Duty & Registration Fees,1
32,MATHABHANGA SDO,355,369,286,238,Status - Application of Learners Licence,2
32,MATHABHANGA SDO,355,6,219,207,Caste Certificate,3
32,MATHABHANGA SDO,355,155,177,165,Apply - Submission of Form for Electoral Roll,4
32,MATHABHANGA SDO,355,425,138,89,Search - Payment of Tax (MV),5
32,MATHABHANGA SDO,355,151,110,93,Apply - Local Residence (Domicile) Certificate,6
33,MEKHLIGANJ SDO,356,470,1805,168,Payment - e-Payment Stamp Duty & Registration Fees,1
33,MEKHLIGANJ SDO,356,6,101,96,Caste Certificate,2
33,MEKHLIGANJ SDO,356,155,69,62,Apply - Submission of Form for Electoral Roll,3
33,MEKHLIGANJ SDO,356,199,48,23,Apply - Payment of WBSEDCL Electricity Bill,4
33,MEKHLIGANJ SDO,356,4,47,46,Application for Income Certificates,5
33,MEKHLIGANJ SDO,356,137,28,27,Apply - Swasthya Sathi Enrolment Certificate New Registration (Form  B),6
33,MEKHLIGANJ SDO,356,156,28,28,Apply - Verification of Electoral Roll Online,6
34,TUFANGANJ SDO,357,470,1497,251,Payment - e-Payment Stamp Duty & Registration Fees,1
34,TUFANGANJ SDO,357,169,584,195,Apply - ROR Application ,2
34,TUFANGANJ SDO,357,408,316,90,Search - Status of Application of Swasthya Sathi Card,3
34,TUFANGANJ SDO,357,155,286,193,Apply - Submission of Form for Electoral Roll,4
34,TUFANGANJ SDO,357,6,284,175,Caste Certificate,5
34,TUFANGANJ SDO,357,156,260,146,Apply - Verification of Electoral Roll Online,6
35,BALURGHAT SDO,359,199,77,32,Apply - Payment of WBSEDCL Electricity Bill,1
35,BALURGHAT SDO,359,22,41,31,Apply - Land Revenue (Khajna),2
35,BALURGHAT SDO,359,171,31,28,Apply - Map Service,3
35,BALURGHAT SDO,359,470,5,3,Payment - e-Payment Stamp Duty & Registration Fees,4
35,BALURGHAT SDO,359,128,3,2,Apply - Aadhaar & Mobile Link with Digital Ration Card,5
35,BALURGHAT SDO,359,233,3,3,Apply - Driving Licence,5
35,BALURGHAT SDO,359,172,2,2,Search - Property Information,6
35,BALURGHAT SDO,359,368,2,1,Application for applying learners licence,6
36,GANGARAMPUR SDO,360,6,373,353,Caste Certificate,1
36,GANGARAMPUR SDO,360,155,205,179,Apply - Submission of Form for Electoral Roll,2
36,GANGARAMPUR SDO,360,199,158,65,Apply - Payment of WBSEDCL Electricity Bill,3
36,GANGARAMPUR SDO,360,4,123,112,Application for Income Certificates,4
36,GANGARAMPUR SDO,360,408,118,117,Search - Status of Application of Swasthya Sathi Card,5
36,GANGARAMPUR SDO,360,137,115,112,Apply - Swasthya Sathi Enrolment Certificate New Registration (Form  B),6
37,DARJEELING SADAR SDO,362,155,823,763,Apply - Submission of Form for Electoral Roll,1
37,DARJEELING SADAR SDO,362,154,811,438,Apply - Gorkha Certificate,2
37,DARJEELING SADAR SDO,362,151,747,374,Apply - Local Residence (Domicile) Certificate,3
37,DARJEELING SADAR SDO,362,6,308,272,Caste Certificate,4
37,DARJEELING SADAR SDO,362,470,218,62,Payment - e-Payment Stamp Duty & Registration Fees,5
37,DARJEELING SADAR SDO,362,425,99,80,Search - Payment of Tax (MV),6
38,KURSEONG SDO,363,22,463,424,Apply - Land Revenue (Khajna),1
38,KURSEONG SDO,363,155,246,232,Apply - Submission of Form for Electoral Roll,2
38,KURSEONG SDO,363,6,214,210,Caste Certificate,3
38,KURSEONG SDO,363,199,176,70,Apply - Payment of WBSEDCL Electricity Bill,4
38,KURSEONG SDO,363,168,150,129,Apply - Mutation Application,5
38,KURSEONG SDO,363,470,108,33,Payment - e-Payment Stamp Duty & Registration Fees,6
39,MIRIK SDO,364,368,428,364,Application for applying learners licence,1
39,MIRIK SDO,364,22,261,228,Apply - Land Revenue (Khajna),2
39,MIRIK SDO,364,6,238,222,Caste Certificate,3
39,MIRIK SDO,364,151,227,204,Apply - Local Residence (Domicile) Certificate,4
39,MIRIK SDO,364,233,211,190,Apply - Driving Licence,5
39,MIRIK SDO,364,154,163,138,Apply - Gorkha Certificate,6
40,SILIGURI SDO,365,155,560,558,Apply - Submission of Form for Electoral Roll,1
40,SILIGURI SDO,365,4,273,272,Application for Income Certificates,2
40,SILIGURI SDO,365,267,236,236,Info - Old Age Pension Scheme,3
40,SILIGURI SDO,365,156,201,201,Apply - Verification of Electoral Roll Online,4
40,SILIGURI SDO,365,266,119,119,Info - Widow Pension Scheme,5
40,SILIGURI SDO,365,478,119,119,Apply - Ordinary Residencial Certificate,5
40,SILIGURI SDO,365,199,107,33,Apply - Payment of WBSEDCL Electricity Bill,6
41,ARAMBAGH SDO,368,408,269,206,Search - Status of Application of Swasthya Sathi Card,1
41,ARAMBAGH SDO,368,199,238,81,Apply - Payment of WBSEDCL Electricity Bill,2
41,ARAMBAGH SDO,368,6,96,47,Caste Certificate,3
41,ARAMBAGH SDO,368,155,69,62,Apply - Submission of Form for Electoral Roll,4
41,ARAMBAGH SDO,368,369,53,44,Status - Application of Learners Licence,5
41,ARAMBAGH SDO,368,368,36,32,Application for applying learners licence,6
42,CHANDANNAGAR SDO,380,6,3316,2607,Caste Certificate,1
42,CHANDANNAGAR SDO,380,22,1112,839,Apply - Land Revenue (Khajna),2
42,CHANDANNAGAR SDO,380,155,903,757,Apply - Submission of Form for Electoral Roll,3
42,CHANDANNAGAR SDO,380,4,408,286,Application for Income Certificates,4
42,CHANDANNAGAR SDO,380,199,347,110,Apply - Payment of WBSEDCL Electricity Bill,5
42,CHANDANNAGAR SDO,380,408,266,255,Search - Status of Application of Swasthya Sathi Card,6
43,CHINSURAHA SDO,374,6,279,270,Caste Certificate,1
43,CHINSURAHA SDO,374,151,232,222,Apply - Local Residence (Domicile) Certificate,2
43,CHINSURAHA SDO,374,155,168,161,Apply - Submission of Form for Electoral Roll,3
43,CHINSURAHA SDO,374,199,166,38,Apply - Payment of WBSEDCL Electricity Bill,4
43,CHINSURAHA SDO,374,4,163,160,Application for Income Certificates,5
43,CHINSURAHA SDO,374,156,28,28,Apply - Verification of Electoral Roll Online,6
44,SIRAMPUR SDO,377,22,186,122,Apply - Land Revenue (Khajna),1
44,SIRAMPUR SDO,377,367,151,95,Search - GRN Information,2
44,SIRAMPUR SDO,377,354,39,8,Payment - Electricity Bill of CESC,3
44,SIRAMPUR SDO,377,169,29,17,Apply - ROR Application ,4
44,SIRAMPUR SDO,377,155,26,12,Apply - Submission of Form for Electoral Roll,5
44,SIRAMPUR SDO,377,4,22,14,Application for Income Certificates,6
45,HOWRAH SADAR SDO,383,22,584,393,Apply - Land Revenue (Khajna),1
45,HOWRAH SADAR SDO,383,4,534,409,Application for Income Certificates,2
45,HOWRAH SADAR SDO,383,6,358,315,Caste Certificate,3
45,HOWRAH SADAR SDO,383,408,302,289,Search - Status of Application of Swasthya Sathi Card,4
45,HOWRAH SADAR SDO,383,155,245,233,Apply - Submission of Form for Electoral Roll,5
45,HOWRAH SADAR SDO,383,156,132,127,Apply - Verification of Electoral Roll Online,6
46,ULUBERIA SDO,382,6,643,449,Caste Certificate,1
46,ULUBERIA SDO,382,272,587,382,Apply - Rupashree Prakalpa,2
46,ULUBERIA SDO,382,4,340,216,Application for Income Certificates,3
46,ULUBERIA SDO,382,199,299,132,Apply - Payment of WBSEDCL Electricity Bill,4
46,ULUBERIA SDO,382,408,269,199,Search - Status of Application of Swasthya Sathi Card,5
46,ULUBERIA SDO,382,244,198,191,Search - e-Services Information of Municipal / Urban services,6
47,JALPAIGURI SDO,387,369,1792,1232,Status - Application of Learners Licence,1
47,JALPAIGURI SDO,387,233,960,794,Apply - Driving Licence,2
47,JALPAIGURI SDO,387,368,851,710,Application for applying learners licence,3
47,JALPAIGURI SDO,387,6,734,693,Caste Certificate,4
47,JALPAIGURI SDO,387,199,270,117,Apply - Payment of WBSEDCL Electricity Bill,5
47,JALPAIGURI SDO,387,151,256,199,Apply - Local Residence (Domicile) Certificate,6
48,MAL SDO,388,6,614,524,Caste Certificate,1
48,MAL SDO,388,155,301,268,Apply - Submission of Form for Electoral Roll,2
48,MAL SDO,388,408,185,175,Search - Status of Application of Swasthya Sathi Card,3
48,MAL SDO,388,199,179,71,Apply - Payment of WBSEDCL Electricity Bill,4
48,MAL SDO,388,156,155,140,Apply - Verification of Electoral Roll Online,5
48,MAL SDO,388,151,85,66,Apply - Local Residence (Domicile) Certificate,6
49,JHARGRAM SDO,389,155,573,530,Apply - Submission of Form for Electoral Roll,1
49,JHARGRAM SDO,389,22,288,244,Apply - Land Revenue (Khajna),2
49,JHARGRAM SDO,389,169,271,67,Apply - ROR Application ,3
49,JHARGRAM SDO,389,199,261,94,Apply - Payment of WBSEDCL Electricity Bill,4
49,JHARGRAM SDO,389,6,251,244,Caste Certificate,5
49,JHARGRAM SDO,389,168,161,62,Apply - Mutation Application,6
50,TEESTA GP,125,478,354,335,Apply - Ordinary Residencial Certificate,1
50,TEESTA GP,125,199,210,96,Apply - Payment of WBSEDCL Electricity Bill,2
50,TEESTA GP,125,4,143,141,Application for Income Certificates,3
50,TEESTA GP,125,516,116,108,Apply - GP Certificate,4
50,TEESTA GP,125,155,60,55,Apply - Submission of Form for Electoral Roll,5
50,TEESTA GP,125,6,59,54,Caste Certificate,6
51,CHANCHAL SDO,136,369,695,308,Status - Application of Learners Licence,1
51,CHANCHAL SDO,136,368,225,167,Application for applying learners licence,2
51,CHANCHAL SDO,136,425,170,153,Search - Payment of Tax (MV),3
