service_id,service_name,service_desc
70,New agricultural subsidy,"A portal consolidating applications for various farmer subsidies (seeds, machinery, irrigation). Farmers upload land proof, Aadhaar, and bank info, select subsidy schemes, track approvals, and receive DBT—streamlining agricultural support. Primary Domain: Agriculture (75%), Cross?Domain: Finance, Public Services, Permits & Licenses."
71,Soil Health Card,"A government initiative launched in 2015–16 to assess and monitor soil fertility across 12 parameters. Farmers register via district or GP offices, provide geo-tagged soil samples, and receive digital cards with nutrient advisory. Includes mobile app, GIS integration, lab processing, and periodic updates every 3 years. Primary Domain: Agriculture (75%), Cross?Domain: Public Services, Health (crop health), Finance, Permits & Licenses."
72,Cultivation Info,"Online knowledge portal offering crop planning, seasonal best-practices, sowing schedules, disease management tips, integrated pest management guidance and localized weather-linked farming advisories. Primary Domain: Agriculture (70%), Cross?Domain: Public Services, Health (pest/disease), Education."
73,Apply - Fertilizer License Application,"Digital licensing system for chemical fertilizer dealers: users complete application, upload GST, identity, bank, and shop details, pay fees, undergo verification, and receive licensing for compliant fertilizer sale. Primary Domain: Permits & Licenses (80%), Cross?Domain: Agriculture, Legal Services, Public Services, Finance."
74,Fertilizer license renewal/modification,"Portal enabling dealers to renew or modify fertilizer sale licenses—upload updated documents (financial, identity, shop), process changes, pay fees, and track status/responses online. Primary Domain: Permits & Licenses (80%), Cross?Domain: Agriculture, Legal Services, Public Services, Finance."
75,Apply - Seed License,"Digital portal for seed producers/traders to apply for seed licenses: applicants submit seed type, lab test results, GST, identity and site proof; fee payments and receipt, and license issuance for seed compliance. Primary Domain: Permits & Licenses (80%), Cross?Domain: Agriculture, Legal Services, Public Services, Finance."
76,Renewal - Seed License,"Portal to renew seed licenses: users upload updated seed production data, testing certificates, documents, pay renewal fees, and get status-tracked approvals. Primary Domain: Permits & Licenses (80%), Cross?Domain: Agriculture, Legal Services, Public Services, Finance."
77,Modify - Seed License,"Digital system allowing modifications to existing seed licenses: users submit amendment requests (name change, address), upload proof, pay fees, and track status for updated license issuance. Primary Domain: Permits & Licenses (80%), Cross?Domain: Agriculture, Legal Services, Public Services, Finance."
78,Renew Insecticide License,"Renewal portal for agro-pesticide dealers: upload shop/identity documents, compliance certificates, pay renewal fees, and receive updated license digitally. Primary Domain: Permits & Licenses (80%), Cross?Domain: Agriculture, Legal Services, Public Services, Finance."
79,New Insecticide License,"Digital application for insecticide dealer license: submit shop details, lab certificates, identity/GST, pay fees, status track application, and receive license for sale of insecticides. Primary Domain: Permits & Licenses (80%), Cross?Domain: Agriculture, Legal Services, Public Services, Finance."
80,Modify Insecticide License,"Portal for modifying insecticide dealer license (e.g., address change): upload request, documents, remit fees, and track updates before receiving revised license. Primary Domain: Permits & Licenses (80%), Cross?Domain: Agriculture, Legal Services, Public Services, Finance."
81,Application Credit linked subsidy CHC,"Portal for applying credit-linked farm equipment subsidies via CHC banks: farmers submit equipment/bank documents, track loan and subsidy disbursal, coordinate with financing bodies. Primary Domain: Finance (75%), Cross?Domain: Agriculture, Public Services, Legal Services."
82,Crop Cutting data upload,"Digital platform where field officers upload crop-cutting survey data (area, yield) via mobile apps, geo-tagging sample plots to support agricultural statistics and insurance monitoring. Primary Domain: Agriculture (75%), Cross?Domain: Public Services, Finance (insurance), Health (yield monitoring)."
83,Crop condition report,"Portal for farmers to submit crop health reports using images, symptoms, GPS-based location; advisors review and send management suggestions—supports disease control and yield optimization. Primary Domain: Agriculture (75%), Cross?Domain: Public Services, Health, Education."
84,Search - Kishan Mandi Information,"Real-time marketplace portal listing arrival volumes, prices, and transport details for grains and produce at rural mandis and wholesale markets across regions. Farmers query by date and location. Primary Domain: Agriculture (70%), Cross?Domain: Finance (pricing), Transport, Public Services."
85,Apply - Sufal Bangla Individual Enrollment Form,"Online enrollment for fruit/vegetable subsidy or assistance under “Sufal Bangla” program: farmers register produce, Aadhaar, bank, land records to receive support and training. Primary Domain: Agriculture (75%), Cross?Domain: Nutrition/Health, Finance, Public Services, Education."
86,Search - Price Information,"Commodity pricing portal offering latest price data for crops, vegetables, eggs, dairy via market-level inputs, alerts and historical graphs to inform farmer selling decisions. Primary Domain: Agriculture (70%), Cross?Domain: Finance, Public Services, Transport."
87,Apply - Application for Farm Produce Transport,"Portal for farm-to-market transport permit application: users submit vehicle, produce type/quantity, route details, pay fee, obtain permit, and track authorization. Primary Domain: Transport (70%), Cross?Domain: Agriculture, Legal Services, Public Services."
88,Search - Price Information of Daily Market,"Real-time UI tool for daily retail/market price search of local agri produce—users select location and product to access price trends and availability. Primary Domain: Agriculture (70%), Cross?Domain: Finance, Public Services, Transport."
89,Register - Online Marketing (Farming),"Registration portal for farmers to engage in government e-marketing platforms: upload farm/business info, product categories, licenses, bank/Aadhaar, and receive a profile to sell produce digitally. Primary Domain: Agriculture (75%), Cross?Domain: Finance, Public Services, Legal Services."
90,Apply - e-permit (agrimarket),"Digital permits portal for agricultural commodities movement: submit crop details, transporter info, schedule, fees; receive validated e-permit for market transit. Primary Domain: Agriculture (75%), Cross?Domain: Transport, Legal Services, Public Services."
91,Search - Diary Scheme Information,"Information portal for dairy support schemes: includes subsidy rates, eligibility (milch animals, Aadhar, bank account), application cycles, and nearest collection centers. Primary Domain: Agriculture (70%), Cross?Domain: Finance, Health/Nutrition, Public Services."
92,Search - Livestock Scheme,"Portal listing livestock-related schemes (vaccination, fodder subsidy, AI services) with eligibility, application steps, and office locations—empowering livestock farmers. Primary Domain: Agriculture (70%), Cross?Domain: Health, Finance, Public Services."
94,Search - Sabuj Sathi Scheme Information,"Knowledge portal for Sabuj Sathi transport aid for students: includes benefit outlines (bicycle distribution), student eligibility (school proofs), application timing, and delivery tracking. Primary Domain: Education (75%), Cross?Domain: Transport, Social Welfare, Public Services."
95,Search - Sikshashree Information,"Scholarship information portal for junior college students: covers eligibility, amount, documents, application windows, and renewal criteria. Primary Domain: Education (80%), Cross?Domain: Social Welfare, Finance, Certificates."
96,Search - Taposali Bandhu Pension Scheme,"Information site for Taposali Pension (retired teachers): outlines eligibility, amount, age proof, bank variable, documentation, and application offices. Primary Domain: Social Welfare (80%), Cross?Domain: Education, Finance, Legal Services, Certificates."
97,Apply - Consumer Grievance,"Digital consumer grievance portal allowing users to submit complaints about services/products, upload evidence, track case status, and receive resolution via consumer courts or ADR forums. Primary Domain: Legal Services (75%), Cross?Domain: Public Services, Finance, Consumer Affairs."
98,Search - Consumer Rights Information,"Education portal describing consumer rights, complaint processes, jurisdiction, and channels of redress—including airline, telecom, e-commerce—targeted at consumer awareness. Primary Domain: Legal Services (75%), Cross?Domain: Public Services, Education, Finance."
99,Register - For e-Parimap,"Online registration portal under Legal Metrology for businesses: users upload scales/intender proof, GST, premises info, pay fee, and receive registration approval. Primary Domain: Registration (75%), Cross?Domain: Legal Services, Public Services, Commerce."
100,Apply - License for e-Parimap,"Digital application for trade license under Legal Metrology (e-Parimap): business uploads equipment and test certificates, pays licensing fees, tracks approval and receives digital license. Primary Domain: Permits & Licenses (75%), Cross?Domain: Legal Services, Registration, Public Services, Commerce."
101,Search - Right to Public Services Information,"Public awareness portal detailing West Bengal RTPS access: explains eligible services, timelines, fee structure, online/offline application links, and escalation mechanisms. Primary Domain: Public Services (80%), Cross?Domain: Legal Services, Education, Consumer Affairs."
102,Search - Cooperative information,"Search portal for cooperative sector: includes registration types, benefits, scheme details, audit rules, subsidies, and contact info for farmer/professional cooperatives. Primary Domain: Registration (75%), Cross?Domain: Finance, Agriculture, Legal Services, Public Services."
103,"Firms, Societies and Non- Trading Corporations-Registration","Online portal enabling formation of NGOs, societies: uploading founding documents (Memorandum, ID, address), paying fees, securing registration certificate and tracking status online. Primary Domain: Registration (80%), Cross?Domain: Legal Services, Public Services."
105,Register - Cooperative Society,"Portal for registering cooperative societies: users submit bylaws, member lists, land details, pay registration fees, monitor application, and receive digital registration certificate. Primary Domain: Registration (80%), Cross?Domain: Finance, Agriculture, Legal Services."
106,Apply - Change of name in Cooperative Society,"Portal to update name of registered cooperative: submit society resolution, affidavits, identity proofs, pay amendment fee, track status, and receive certificate with updated name. Primary Domain: Registration (80%), Cross?Domain: Legal Services, Public Services."
107,Search - Cooperative Society Finance Rules,"Informational portal detailing financial regulations for cooperatives: audit process, reserve fund rules, eligibility, loan norms, interest rates, and documentation requirements. Primary Domain: Legal Services (80%), Cross?Domain: Finance, Registration."
377,Test Service 2,"Placeholder test service entry. Description to be defined. Primary Domain: Public Services?, Cross?Domain: Education?"
108,"Apply – Special Compassionate Appointment (Covid?19) Scheme, 2020","Enables dependents (spouse, children, siblings) of frontline “Covid?warriors”—including government, ASHA, Anganwadi, civic workers—who died or were incapacitated to receive Group C/D state jobs within 30 working days. Applicants submit death/incapacitation certificates, relationship proof, and educational documents; appointments are made per eligibility rules. Primary Domain: Employment (~80%), Cross?Domain: Social Welfare, Legal Services, Public Services (wbxpress.com)"
109,Apply – PSC Job Application,"Central WBPSC portal for government recruitment across services (e.g., clerical, engineering, inspector). Users register once, fill applications, upload ID/edu proofs, schedule exams, pay fees online or via challan, download admit cards, and track results. Primary Domain: Employment (~80%), Cross?Domain: Public Services, Education, Legal Services"
110,Deed e?Registration,"Digital platform for registering property transactions—sale, gift, mortgage, lease—by uploading document scans, land maps, ID proofs, calculating stamp duty, booking biometric sub?registrar appointments, and receiving digitally signed e?deed. Primary Domain: Legal Services (~85%), Cross?Domain: Registration, Taxation, Housing & Utilities, Public Services"
111,Deed – Certified Copy,"Online request service for certified copies of registered deeds using deed number/date and ID upload, with nominal fees; certified digital copy delivered for legal or transactional use. Primary Domain: Public Services (~75%), Cross?Domain: Legal Services, Registration, Finance"
112,Valuation – Stamp Duty Information,"Calculator tool for estimating stamp duty and registration charges based on property value, location, and transaction type; includes downloadable duty certificates and payment guidelines. Primary Domain: Taxation (~80%), Cross?Domain: Housing & Utilities, Legal Services, Finance"
113,Apply – New Excise License,"Online application for new excise license to manufacture, distribute or sell alcohol. Applicants submit business credentials, property/site documents, compliance certificates, and fees for inspection and digital license issuance. Primary Domain: Permits & Licenses (~80%), Cross?Domain: Legal Services, Public Services, Taxation"
114,Renewal – Excise License,"Renewal portal requiring license holders to upload updated business/identity docs, compliance certificates, and pay renewal fees to receive extended digital excise license. Primary Domain: Permits & Licenses (~80%), Cross?Domain: Legal Services, Public Services, Finance"
115,Payment – Excise Duty Fee,"Platform to calculate and pay excise duties (liquor production/import), with digital invoices, payment history, and receipt downloads for compliance. Primary Domain: Taxation (~80%), Cross?Domain: Legal Services, Finance, Public Services"
116,Apply – Temporary Bar License Application,"Enables hotels/venues to apply for temporary bar licenses for events/festivals—submit event details, ID and venue compliance certificates, pay fee, and receive e-permit post-inspection. Primary Domain: Permits & Licenses (~80%), Cross?Domain: Hospitality, Legal Services, Public Services"
117,Register – Retail Liquor Outlet,"Portal for setting up retail liquor shops—includes upload of property/GST proofs, ID documents, security deposit, and license fee for official outlet registration. Primary Domain: Permits & Licenses (~80%), Cross?Domain: Commerce, Legal Services, Taxation, Public Services"
118,Apply – Excise Crime Reporting – Citizen,"Citizen portal to report excise violations (bootlegging, underage sale). Users file complaints, upload evidence, receive case ID, and track enforcement actions. Primary Domain: Police & Law Enforcement (~80%), Cross?Domain: Legal Services, Public Services, Health"
119,Payment – Tax or Fees,"Unified interface for paying taxes/fees (property, professional, license, land revenue), with online calculation, gateway payment, e-receipts, reminders, and transaction history. Primary Domain: Taxation (~80%), Cross?Domain: Finance, Public Services, Housing & Utilities"
120,Apply – Renewal of Fire Safety Certificate,"Online renewal of Fire Safety Certificate by uploading previous FSC, structural and electrical reports, paying inspection fees, and receiving digital FSC post verification. Primary Domain: Public Services (~80%), Cross?Domain: Permits & Licenses, Housing & Utilities, Legal Services"
121,Apply – Issuance of Fire Safety Certificate,"Portal for obtaining FSC for new buildings/premises by submitting building plans, occupancy proofs, fire safety system designs, paying fees, and receiving FSC after inspections. Primary Domain: Public Services (~80%), Cross?Domain: Housing & Utilities, Permits & Licenses, Legal Services"
122,Fishery Development Schemes Info,"Information portal listing schemes for fishery development—pond renovation, aquaculture subsidies, training sessions, and equipment grants, with provider/disbursement details. Primary Domain: Agriculture (~70%), Cross?Domain: Finance, Public Services, Education, Employment"
123,Booking – BENFISH Properties,"Online booking of fishery properties like ponds, hatcheries, and fish markets under BENFISH—submit application, land proof, activity plan, pay lease/rent, and receive allotment confirmation. Primary Domain: Agriculture (~70%), Cross?Domain: Permits & Licenses, Public Services, Finance"
124,Apply – Farmer Registration Paddy Sale,"Enables registration of paddy growers to sell produce at MSP through government procurement, requiring land, Aadhaar, bank details, allotment ID issuance, and payment tracking. Primary Domain: Agriculture (~80%), Cross?Domain: Finance, Public Services, Legal Services"
125,Search – Payment Status of Paddy Sold,"Dashboard for farmers to check DBT payment of sold paddy via procurement ID or Aadhaar—shows amount paid, transaction date, and status. Primary Domain: Agriculture (~80%), Cross?Domain: Finance, Public Services"
126,Apply – New Digital Ration Card,"Apply for a new digital ration card via NFSA/WB portal by submitting Aadhaar, ID/residence proof, family details, and bank data; track application until issuance of e-ration card. Primary Domain: Public Services (~80%), Cross?Domain: Social Welfare, Legal Services, Finance"
127,Search – Application Status of Digital Ration Card,"Check status of ration card applications using app ID or Aadhaar number; see stages like verification, dispatch, and delivery estimate. Primary Domain: Public Services (~80%), Cross?Domain: Social Welfare, Legal Services"
128,Apply – Aadhaar & Mobile Link with Digital Ration Card,"Enables users to securely link their Aadhaar and mobile number to the state digital ration card via OTP-based e-KYC, ensuring eligibility for food entitlements. Primary Domain: Public Services (~80%), Cross?Domain: Social Welfare (food subsidies), Legal Services (ID verification), Finance (DBT enablement)."
129,Food Grain Entitlements & Helpdesk No. Display,"Displays monthly food grain allocations under NFSA for AAY/Priority categories, along with FPS contact and grievance helpline info to support transparency. Primary Domain: Social Welfare (~75%), Cross?Domain: Public Services, Consumer Affairs, Legal Access."
130,Search – Food Processing & Horticulture Schemes Information,"Knowledge portal aggregating state/national subsidies and training programs for food processing, cold storage, and horticulture entrepreneurship. Primary Domain: Agriculture (~70%), Cross?Domain: Finance, Business Support, Public Services."
131,Apply for Birth & Death Certificate,"Enables online application for birth/death certificates via submission of event details and proofs, paying minimal fees, and downloading digitally signed documents for official use. Primary Domain: Public Services (~80%), Cross?Domain: Legal Services, Health Records, Social Welfare."
132,Apply – Janani Suraksha Yojana,"Incentivizes institutional deliveries by pregnant women via NHM’s JSY scheme. Applicants register, submit IDs and bank details, and receive conditional cash assistance post-delivery. Primary Domain: Health (~75%), Cross?Domain: Social Welfare, Finance, Public Services (youtube.com, v2.india.gov.in, nhm.gov.in)"
133,Apply – Maternity Schemes,"Provides access to various maternity benefits including institutional delivery assistance, nutritional supplements, and antenatal care under schemes like PMSMA, with online enrolment and benefit tracking. Primary Domain: Health (~75%), Cross?Domain: Social Welfare, Finance, Public Services."
134,Apply – Nikshay Poshan Yojana,"Nutrition scheme for TB patients, enabling enrolment to receive food support via DBT during treatment. Submission of TB ID and bank details required. Primary Domain: Health (~75%), Cross?Domain: Social Welfare, Finance, Public Services."
135,Apply – Family Planning Compensation,"Allows users to claim government compensation post-sterilization by submitting medical forms and bank details in a secure portal. Primary Domain: Health (~70%), Cross?Domain: Social Welfare, Finance, Legal Consent."
136,Apply – Janani Shishu Suraksha Karyakram,"Offers free institutional delivery and neonatal services; users register and submit ID/proofs at hospitals to avail postnatal benefits within the JSY framework. Primary Domain: Health (~75%), Cross?Domain: Social Welfare, Public Services, Finance."
137,Apply – Swasthya Sathi Enrolment Certificate,"Enables registration for ?5 lakh per family health cover under Swasthya Sathi; requires Aadhaar, income proofs and family details for digital card issuance. Primary Domain: Health (~75%), Cross?Domain: Social Welfare, Finance, Public Services."
138,Apply – OPD Registration,"Citizens pre-register online for hospital OPDs by selecting facility and date, verifying ID, and receiving tokens via SMS to streamline appointment flow. Primary Domain: Health (~80%), Cross?Domain: Public Services, Scheduling Systems, Legal IDs."
139,Search – COVID Patient Information,"Public portal showing COVID stats (new cases, recoveries, fatalities) by district with daily updates to inform citizens. Primary Domain: Public Services (~70%), Cross?Domain: Health, Education, Consumer Awareness."
140,Search – Blood Test Report,"Allows retrieval of lab test results (COVID, pathology) via patient ID or barcode with secure download of digitally authorized reports. Primary Domain: Health (~80%), Cross?Domain: Legal Health Records, Public Services."
141,Blood Availability Info,"Displays real-time availability of blood groups at regional blood banks, with request mechanisms for hospitals or individuals in emergencies. Primary Domain: Health (~75%), Cross?Domain: Public Services, Emergency Services."
142,Organ Transplant Procedure,"Informational guide detailing organ transplant eligibility, consent rules, hospital listings, protocol, and documentation guidance for potential donors/recipients. Primary Domain: Health (~70%), Cross?Domain: Legal Services, Public Services, Social Welfare."
143,Registration – Shishu Sathi,"Portal for registering newborns under Shishu Sathi child health insurance; requires child Aadhaar/birth proof and referral letters for coverage approval. Primary Domain: Health (~75%), Cross?Domain: Social Welfare, Finance, Public Services."
144,Ambulance Booking,"Enables booking of 108/102 emergency ambulances via web/app with patient/location details and provides real-time ETA and dispatch confirmation. Primary Domain: Health (~80%), Cross?Domain: Emergency Services, Public Services."
145,Complaint Lodging – WBCERC,"Platform for filing electricity-related consumer complaints (billing, outages) to WBCERC; users can upload evidence and track complaint resolution. Primary Domain: Legal Services (~75%), Cross?Domain: Consumer Affairs, Public Services."
146,Apply – Swami Vivekananda Scholarship,"Scholarship for SC/ST/OBC students pursuing higher education abroad. Applicants submit caste, academic, and acceptance proofs, track scholarship processing online. Primary Domain: Education (~80%), Cross?Domain: Social Welfare, Finance, Cultural Outreach."
147,College Admission Application,"State-level online admissions portal for colleges UG/PG courses. Includes merit-based seat selection, document upload, fee payment, and counselling tracking. Primary Domain: Education (~80%), Cross?Domain: Public Services, Social Welfare, Legal Eligibility."
148,Application for correction of mark sheets,"Enables students to request correction in academic mark sheets (e.g., name, marks, grade) by uploading scanned copies, institution verification, and ID/proof of error. Processed through board offices with updated digital certificate issuance. Primary Domain (~80%): Education; Cross?Domain (~20%): Legal Services (official records), Public Services."
149,Download: e?learning materials,"Digital platform for accessing curriculum-aligned PDFs, videos, and interactive modules suitable for remote learning and exam prep across classes. Primary Domain (~85%): Education; Cross?Domain (~15%): Digital Infrastructure, Public Services."
150,Download & submit assignments,"Students download assignments via portal and upload completed work by deadline; includes automated reminders and grading portal for teachers. Primary Domain (~85%): Education; Cross?Domain (~15%): Public Services, Digital Infrastructure."
151,Apply – Local Residence (Domicile) Certificate,"Service for residents to apply for domicile certificates using ID/address proofs to access state quotas in education and jobs. Includes application tracking and digital issuance. Primary Domain (~80%): Certificates; Cross?Domain (~20%): Legal Services, Education, Employment."
152,Apply – Refinance of Term Loan,"Enables farmers/businesses to restructure existing term loans under state refinancing schemes via bank portal, uploading prior loan docs, repayment records, and financial statements. Primary Domain (~75%): Finance; Cross?Domain (~25%): Agriculture, Employment, Business Support."
384,Search – Fertilizer License Status,"Dealers and agriculture officers can check the status of fertilizer license applications or renewals (issue date, expiry, validity). Primary Domain (~80%): Agriculture; Cross?Domain (~20%): Permits & Licenses, Public Services."
153,Search – Transfer Case of Arms License Information,"Citizens track status of arms license transfers (sale, inheritance) via online portal using license and transfer application numbers. Primary Domain (~80%): Police & Law Enforcement; Cross?Domain (~20%): Legal Services, Public Services."
154,Apply – Gorkha Certificate,"Gorkha community members can apply online for Gorkha identity certificates to access reservation/benefits in welfare, education, and employment by uploading ID proofs and caste/community declaration. Primary Domain (~80%): Certificates; Cross?Domain (~20%): Social Welfare, Employment, Education."
155,Apply – Submission of Form for Electoral Roll,"Portal to submit forms (6, 6A, 7, 8) for voter registration, corrections, or removals, requiring sync with EPIC, address ID, and age verification. Primary Domain (~75%): Public Services; Cross?Domain (~25%): Legal Services, Civic Engagement."
156,Apply – Verification of Electoral Roll Online,"Users verify EPIC status, polling booth, and constituency via web or OTP-based mobile authentication to ensure electoral participation readiness. Primary Domain (~75%): Public Services; Cross?Domain (~25%): Legal Services, Civic Engagement."
157,Search – Firecracker License Information,"Provides licensing status for firecracker manufacturing/sales under Explosives Rules—renewal dates, regulatory compliance, and associated safety notifications. Primary Domain (~75%): Permits & Licenses; Cross?Domain (~25%): Legal Services, Public Safety."
158,Search – Term Loan Status,"Applicants track agricultural or MSME term loan application stage (e.g., pending, approved, disbursed) using Aadhaar or application number. Primary Domain (~80%): Finance; Cross?Domain (~20%): Agriculture, Business Support."
159,Apply – Lok Prasar Scheme,"Enables folk/traditional artists to apply for Lok Prasar Prakalpa scheme which offers identity cards, monthly stipends/pension and performance fees; requires ID, income proof, and cultural credentials. Primary Domain (~75%): Social Welfare; Cross?Domain (~25%): Culture, Employment, Finance. (wb.gov.in, wblpp.in, bajajallianz.com, govtschemes.in, myscheme.gov.in)"
160,Search – Agriculture & Irrigation Schemes,"Aggregate portal to explore active agriculture/irrigation schemes, including subsidies, eligibility, supporting documents, and application links. Primary Domain (~80%): Agriculture; Cross?Domain (~20%): Finance, Public Services."
171,Apply – Map Service,"Citizens request digital cadastral/village/satellite maps of land parcels for legal, lending, or planning purposes via Khatian/plot entry. Primary Domain (~75%): Legal Services; Cross?Domain (~25%): Housing & Utilities, Agriculture."
172,Search – Property Information,"Retrieves ownership, mutation, encumbrance, and tax history for Khatian/plot numbers via secure portal, aiding legal or sale verifications. Primary Domain (~80%): Legal Services; Cross?Domain (~20%): Housing & Utilities, Taxation."
161,Apply – Building & Construction Workers Pension Scheme,"Construction laborers apply online for pension benefits under WBBOCWWB by submitting work records, age proofs, and identity for monthly pension disbursal. Primary Domain (~80%): Social Welfare; Cross?Domain (~20%): Employment, Finance."
162,Search – Subscription of Building & Construction Workers Pension Scheme Information,"Portal displays contribution and pension subscription history for registered construction workers to monitor compliance and benefits. Primary Domain (~75%): Social Welfare; Cross?Domain (~25%): Employment, Finance."
163,Search – Registration of Transport Workers Pension Scheme Information,"Enables users to check registration and contribution records under Transport Workers’ Pension Scheme via Aadhaar/registration. Primary Domain (~75%): Social Welfare; Cross?Domain (~25%): Employment, Transport."
164,Apply – Samajik Suraksha Yojana Application,"Unified application portal for multiple unorganised sector welfare benefits (health, pension, death coverage) via income and occupational proof submission. Primary Domain (~80%): Social Welfare; Cross?Domain (~20%): Employment, Finance, Legal Services."
165,Apply – Yuvashree Scheme Application,"Unemployed youth registered with Employment Bank can apply online for monthly assistance of ?1,500 under Yuvasree Prakalpa. Requires Aadhaar, educational proof (8th pass), unemployment certificate, bank details, and is subject to renewal every 6 months. Primary Domain (~80%): Social Welfare / Employment; Cross?Domain (~20%): Finance, Education, Public Services. (wb.gov.in, socialwelfare.vikaspedia.in)"
